id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1464031929494245410,1463983331771498501,2021-11-25 19:43:07 EST,2021-11-25,19:43:07,-0500,195626764,nzmaorichick29,Ash J Gibson,,@richardstiffers @Wrexx007 @bis_de112 @FoxNews I've had my 19th booster shot 😂😂😂  https://t.co/A618yGiisG,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FFFJRj6UUAE8rtd.jpg'],0,0,0,[],[],https://twitter.com/NZmaorichick29/status/1464031929494245410,False,,1,https://pbs.twimg.com/tweet_video_thumb/FFFJRj6UUAE8rtd.jpg,,,,,,,"[{'screen_name': 'richardstiffers', 'name': 'luke', 'id': '405131736'}, {'screen_name': 'Wrexx007', 'name': 'David B - PhD 👨\u200d🔬🧪🔬🩸💉', 'id': '370996937'}, {'screen_name': 'bis_de112', 'name': 'Dean_B', 'id': '1201952016437633025'}, {'screen_name': 'FoxNews', 'name': 'Fox News', 'id': '1367531'}]",,,,
1464031806173298692,1463176636334055434,2021-11-25 19:42:37 EST,2021-11-25,19:42:37,-0500,1458992575046508544,ojaimauler,OjaiMauler,,@Delicious_Tacos Up goes government employment down goes the Republic. 2 - 2 = 81 mil votes and 160 mil booster shots.,en,[],[],[],0,0,0,[],[],https://twitter.com/OjaiMauler/status/1464031806173298692,False,,0,,,,,,,,"[{'screen_name': 'Delicious_Tacos', 'name': 'Delicious Tacos', 'id': '605974171'}]",,,,
1464031632713682953,1464031632713682953,2021-11-25 19:41:56 EST,2021-11-25,19:41:56,-0500,2367111,assaf,Assaf 😷 booster shot,,"I live in an open space loft, so technically I have a TV on every room  * it’s an iPad",en,[],[],[],0,0,0,[],[],https://twitter.com/assaf/status/1464031632713682953,False,,0,,,,,,,,[],,,,
1464031310389915650,1464031310389915650,2021-11-25 19:40:39 EST,2021-11-25,19:40:39,-0500,1231704310804860928,trimmi3r,Sherlock T 🕵🏽,,Damage mags + recoil booster and a 2 shot pistol + Eu host Tuscan. Love god love cod,en,[],[],[],0,0,1,[],[],https://twitter.com/Trimmi3r/status/1464031310389915650,False,,0,,,,,,,,[],,,,
1464031267951890433,1463861878761955328,2021-11-25 19:40:29 EST,2021-11-25,19:40:29,-0500,13139632,brucewilson,It's the Carbon,,@statesdj @DemFromCT A new study out of the UK indicates that 93% of vaccinated adults who have also received a booster shot have 93% total immunity to #COVID19 -&gt; they're not spreading it b/c they can't catch it.,en,[],[],[],0,0,0,['covid19'],[],https://twitter.com/brucewilson/status/1464031267951890433,False,,0,,,,,,,,"[{'screen_name': 'statesdj', 'name': 'David States', 'id': '390731779'}, {'screen_name': 'DemFromCT', 'name': 'Greg Dworkin', 'id': '19087651'}]",,,,
1464031251669553165,1464031251669553165,2021-11-25 19:40:25 EST,2021-11-25,19:40:25,-0500,82460332,michaelargast,Michael Argast 💉💉🤗,,"Spoke to my mom in Campbell River. No bookings for booster shots available until February in town, has to go to Comox (not a big deal to her, but is for others).  It is absurd that 20 months into a pandemic and we’re still in this state of affairs. Failing at logistics everywhere",en,[],[],[],0,0,0,[],[],https://twitter.com/michaelargast/status/1464031251669553165,False,,0,,,,,,,,[],,,,
1464031098401296394,1464022118945886215,2021-11-25 19:39:48 EST,2021-11-25,19:39:48,-0500,1463428893369528323,peterpeterv20,Peter 2.0,,@9NewsMelb Fark off Scotty. 3rd and 4th booster shots are not working for Israel.  Return the Pfizer and approve @Novavax,en,"[{'screen_name': 'novavax', 'name': 'novavax', 'id': '2913798339'}]",[],[],0,0,0,[],[],https://twitter.com/PeterPeterV20/status/1464031098401296394,False,,0,,,,,,,,"[{'screen_name': '9NewsMelb', 'name': '9News Melbourne', 'id': '183036128'}]",,,,
1464030931803594764,1463894309133033480,2021-11-25 19:39:09 EST,2021-11-25,19:39:09,-0500,1384323476,patwatral,Pat Watral,,"@SheriAWilkinson My hubby and I got the Pfizer booster Monday and Tuesday was a bit rough. Achy, and I have a lump where I got the shot which is sore. No regrets though...",en,[],[],[],0,0,0,[],[],https://twitter.com/PatWatral/status/1464030931803594764,False,,0,,,,,,,,"[{'screen_name': 'SheriAWilkinson', 'name': 'Sheri Wilkinson', 'id': '101051273'}]",,,,
1464030891198455809,1464030891198455809,2021-11-25 19:38:59 EST,2021-11-25,19:38:59,-0500,69238380,khenidak,Kal,,"Been feeling under the weather since the morning. Thought it is just lack of good sleep, but this is hitting harder. Then I remembered that I had my booster shot yesterday.  Makes sense.",en,[],[],[],0,0,0,[],[],https://twitter.com/khenidak/status/1464030891198455809,False,,0,,,,,,,,[],,,,
1464030889730478097,1464030889730478097,2021-11-25 19:38:59 EST,2021-11-25,19:38:59,-0500,846251191,alisondorf,Alison Dorf,,Very thankful to have gotten the booster shot… but wow was it rough. Finally feeling better almost 36 hours later. Anyone else have bad symptoms?,en,[],[],[],0,0,2,[],[],https://twitter.com/AlisonDorf/status/1464030889730478097,False,,0,,,,,,,,[],,,,
1464030705172815872,1464019577138941962,2021-11-25 19:38:15 EST,2021-11-25,19:38:15,-0500,42035260,michaeldunn1974,"I love Joey Votto, Reds & the Indiana Hoosiers!",,@BigMacStax @HoosierHystrcs Maybe this pandemic would finally end if people were smart enough to wear masks and get vaccinated and get the booster shots!,en,[],[],[],0,0,0,[],[],https://twitter.com/michaeldunn1974/status/1464030705172815872,False,,0,,,,,,,,"[{'screen_name': 'BigMacStax', 'name': 'DudeDiligence', 'id': '1261337131403939840'}, {'screen_name': 'HoosierHystrcs', 'name': 'HoosierHysterics!', 'id': '1076392351390560256'}]",,,,
1464030667227136001,1464030667227136001,2021-11-25 19:38:06 EST,2021-11-25,19:38:06,-0500,291048380,kjao95,KJ 健南,,What brand should I take for booster shot?,en,[],[],[],0,0,0,[],[],https://twitter.com/kjao95/status/1464030667227136001,False,,0,,,,,,,,[],,,,
1464030594476642310,1464030594476642310,2021-11-25 19:37:48 EST,2021-11-25,19:37:48,-0500,2886412177,ghjkkiv,kk,,"hello! covid19 vaccination sign up for cebu city :) minors, adults, and booster shots:   https://t.co/bzvqhlKVOn",en,[],['https://vims.cebucity.gov.ph/page/portal'],[],0,0,0,[],[],https://twitter.com/ghjkkiv/status/1464030594476642310,False,,0,,,,,,,,[],,,,
